UserID,User_Name,Email,Department,Role,Location,Employment_Type,Join_Date,Status
1,Ayanda Dlamini,ayanda.dlamini1@company.co.za,Operations,Specialist,Durban,Part-Time,2022-02-17,Active
2,David Mokoena,david.mokoena2@company.co.za,Compliance,Consultant,Pretoria,Full-Time,2018-07-11,Active
3,Thandeka Hadebe,thandeka.hadebe3@company.co.za,Compliance,Analyst,East London,Part-Time,2022-01-06,On Leave
4,David Molefi,david.molefi4@company.co.za,Marketing,Administrator,Kimberley,Contractor,2022-07-16,Active
5,Naledi Williams,naledi.williams5@company.co.za,Sales,Coordinator,Port Elizabeth,Part-Time,2019-03-17,Active
6,Bongani Mokoena,bongani.mokoena6@company.co.za,Sales,Manager,Bloemfontein,Contractor,2021-05-21,Active
7,Sipho Brown,sipho.brown7@company.co.za,Engineering,Developer,Johannesburg,Intern,2018-06-11,Inactive
8,Palesa Wilson,palesa.wilson8@company.co.za,Compliance,Coordinator,Kimberley,Part-Time,2021-12-13,Active
9,Sipho Jones,sipho.jones9@company.co.za,Marketing,Director,Johannesburg,Part-Time,2022-11-10,Active
10,Gugu Khumalo,gugu.khumalo10@company.co.za,Engineering,Coordinator,Cape Town,Contractor,2019-12-29,Active
11,Lwazi Williams,lwazi.williams11@company.co.za,HR,Advisor,Cape Town,Part-Time,2018-12-01,Active
12,Gugu Khumalo,gugu.khumalo12@company.co.za,Procurement,Specialist,Bloemfontein,Full-Time,2019-04-15,Active
13,Nkosi Sekhoto,nkosi.sekhoto13@company.co.za,Operations,Manager,Durban,Contractor,2019-03-12,On Leave
14,Sarah Sekhoto,sarah.sekhoto14@company.co.za,Engineering,Engineer,Port Elizabeth,Part-Time,2019-05-21,On Leave
15,Lisa Gumede,lisa.gumede15@company.co.za,Operations,Advisor,Nelspruit,Intern,2020-01-12,Active
16,Siyanda Hadebe,siyanda.hadebe16@company.co.za,Engineering,Manager,Pretoria,Full-Time,2018-11-10,On Leave
